Sl. No.,IFB / RFP / EOI / PQ No.,Project Title,Public Entity Name,ProcurementType,Status,Notice PublishedDate,Last Date ofBid Submission,No ofDays Left
25,SQ/NM/2081-082/Goods/2,"Procurement of medicine, surgical and medical equipments",Narayan Municipality Office,Goods  Sealed Quotation,,16-08-2024 10:00,01-09-2024 12:00,9 days
9,T2/2081/82-16,Construction of Blacktopped Road including Retaining Structures along Biratnagar 04 Trikala Chowk Marga Bata Shahid Marga Budhiganga 02 Healthpost samma Jane Sadak,105 Road Division Biratnagar,Works  NCB,,02-08-2024 00:00,01-09-2024 12:00,9 days
16,01/SQ/Goods/NA-BH/081/82,Purchase of Medical Equipment and Furniture Items,BIRENDRA HOSPITAL,Goods  Sealed Quotation,,15-08-2024 17:40,30-08-2024 12:00,7 days
4,dhi/sq/01-2081/82,SUPPLY AND DELIVERY OF PRINTING DOCUMENTS AND PAPERS OF HOSPITAL.,"Ilam Hospital, Ilam",Goods  Sealed Quotation,,15-08-2024 09:00,30-08-2024 12:00,7 days
9,DROBTL/33701136/081/82-01,Traffic Safety Works along Bhairahawa Lumbini  Kothi Road Section,"Road Division, Butwal",Works  NCB,,31-07-2024 00:00,30-08-2024 12:00,7 days
11,DROBTL/33701169/081/82-03,"Blacktop Works at Purba Paschim Rajmarga Saljhandi Medical Chowk  Sagarmatha Hill Battle School, DROBTL/33701169/081/82-03","Road Division, Butwal",Works  NCB,,31-07-2024 00:00,30-08-2024 12:00,7 days
30,OIRM/GUL/SQ/081/82-04,"Procurement and Supply Of Medicine &amp; Surgical Items at Isma Rural Municipality , Gulmi.","Office of Ishma Rural Municipality, Gulmi",Goods  Sealed Quotation,,15-08-2024 10:00,30-08-2024 12:00,7 days
4,ORM- NCB-GUL-W--10-081/82,"Construction of Arkhale Health Post Building, Resunga Municipality-5, Gulmi",Office of Resunga Municipality,Works  NCB,,31-07-2024 10:00,30-08-2024 12:00,7 days
12,PAHS/NCB/HE/01/081/082,Procurement of Hospital Equipment,Patan Academy of Health Science,Goods  NCB,,31-07-2024 00:00,30-08-2024 12:00,7 days
9,02/RDHTD/337011694/81/82-007,"Road Upgrading works of Hulaki Rajmarga-Auraha-Health Post -Santhi- Dharampur-Chhinamasta Mandir Road,Parsa",Road Division Hetauda,Works  NCB,,29-07-2024 16:00,29-08-2024 12:00,6 days
29,MBHTC/MORANG/NCB/GOODS/01/2081/82,"Procurement of Medicine for Hospital Pharmacy (Antibiotics, Neuropsychiatry, Cardio, Diabetics, Endocrine, Respiratory, NSAIDS Anesthetics and Others)",Madan Bhandari Hospital & Trauma Center,Goods  NCB,,30-07-2024 00:01,29-08-2024 12:00,6 days
10,8/Medicinedhulabari/Goods/NCB/Mechi/2081/082,"Procurement for Supply of Medicine for Municipal Primary Hospital,Dhulabari,Jhapa",Mechinagar Municipality Jhapa,Goods  NCB,,29-07-2024 17:00,28-08-2024 12:00,5 days
13,BH/NCB/PMED/07/081/82,Procurement of Medicines for Hospital Pharmacy,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,29-07-2024 00:00,28-08-2024 12:00,5 days
14,BH/NCB/PSURG/08/081/82,Procurement of Surgical Items for Hospital Pharmacy,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,29-07-2024 00:00,28-08-2024 12:00,5 days
17,DMO/JHAPA/ESSENTIALMED/2081-82,Procurement of Essential Medicine for Damak Hospital 2081-82,"Damak Municipality, Office of Municipal Executive",Goods  NCB,,29-07-2024 10:00,28-08-2024 12:00,5 days
18,DMO/JHAPA/INSMED/2081-82,Procurement of  Insurance Medicine for Damak Hospital 2081-82,"Damak Municipality, Office of Municipal Executive",Goods  NCB,,29-07-2024 10:00,28-08-2024 12:00,5 days
