Sl. No.,IFB / RFP / EOI / PQ No.,Project Title,Public Entity Name,ProcurementType,Status,Notice PublishedDate,Last Date ofBid Submission,No ofDays Left
5,dhi/sq/01-2081/82,SUPPLY AND DELIVERY OF PRINTING DOCUMENTS AND PAPERS OF HOSPITAL.,"Ilam Hospital, Ilam",Goods  Sealed Quotation,,15-08-2024 09:00,30-08-2024 12:00,14 days
10,DROBTL/33701136/081/82-01,Traffic Safety Works along Bhairahawa Lumbini  Kothi Road Section,"Road Division, Butwal",Works  NCB,,31-07-2024 00:00,30-08-2024 12:00,14 days
12,DROBTL/33701169/081/82-03,"Blacktop Works at Purba Paschim Rajmarga Saljhandi Medical Chowk  Sagarmatha Hill Battle School, DROBTL/33701169/081/82-03","Road Division, Butwal",Works  NCB,,31-07-2024 00:00,30-08-2024 12:00,14 days
30,OIRM/GUL/SQ/081/82-04,"Procurement and Supply Of Medicine &amp; Surgical Items at Isma Rural Municipality , Gulmi.","Office of Ishma Rural Municipality, Gulmi",Goods  Sealed Quotation,,15-08-2024 10:00,30-08-2024 12:00,14 days
4,ORM- NCB-GUL-W--10-081/82,"Construction of Arkhale Health Post Building, Resunga Municipality-5, Gulmi",Office of Resunga Municipality,Works  NCB,,31-07-2024 10:00,30-08-2024 12:00,14 days
12,PAHS/NCB/HE/01/081/082,Procurement of Hospital Equipment,Patan Academy of Health Science,Goods  NCB,,31-07-2024 00:00,30-08-2024 12:00,14 days
9,02/RDHTD/337011694/81/82-007,"Road Upgrading works of Hulaki Rajmarga-Auraha-Health Post -Santhi- Dharampur-Chhinamasta Mandir Road,Parsa",Road Division Hetauda,Works  NCB,,29-07-2024 16:00,29-08-2024 12:00,13 days
29,MBHTC/MORANG/NCB/GOODS/01/2081/82,"Procurement of Medicine for Hospital Pharmacy (Antibiotics, Neuropsychiatry, Cardio, Diabetics, Endocrine, Respiratory, NSAIDS Anesthetics and Others)",Madan Bhandari Hospital & Trauma Center,Goods  NCB,,30-07-2024 00:01,29-08-2024 12:00,13 days
10,8/Medicinedhulabari/Goods/NCB/Mechi/2081/082,"Procurement for Supply of Medicine for Municipal Primary Hospital,Dhulabari,Jhapa",Mechinagar Municipality Jhapa,Goods  NCB,,29-07-2024 17:00,28-08-2024 12:00,12 days
13,BH/NCB/PMED/07/081/82,Procurement of Medicines for Hospital Pharmacy,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,29-07-2024 00:00,28-08-2024 12:00,12 days
14,BH/NCB/PSURG/08/081/82,Procurement of Surgical Items for Hospital Pharmacy,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,29-07-2024 00:00,28-08-2024 12:00,12 days
17,DMO/JHAPA/ESSENTIALMED/2081-82,Procurement of Essential Medicine for Damak Hospital 2081-82,"Damak Municipality, Office of Municipal Executive",Goods  NCB,,29-07-2024 10:00,28-08-2024 12:00,12 days
18,DMO/JHAPA/INSMED/2081-82,Procurement of  Insurance Medicine for Damak Hospital 2081-82,"Damak Municipality, Office of Municipal Executive",Goods  NCB,,29-07-2024 10:00,28-08-2024 12:00,12 days
23,5/SWM/SQ/GD/2081/82,Supply and Procurement of Medicine and Surgical Item,"Swargadwari Municipality, Pyuthan",Goods  Sealed Quotation,,11-08-2024 00:00,27-08-2024 12:00,11 days
24,BH/NCB/GOODS-01/2081-082,"Supply and delivery of Medicine items, Bardya Hospital, Gulariya, Bardiya",Bardiya Hospital,Goods  NCB,,28-07-2024 00:01,27-08-2024 12:00,11 days
25,BH/NCB/GOODS-02/2081-082,"Supply and delivery of Surgical Items, Bardiya Hospital, Gulariya, Bardiya",Bardiya Hospital,Goods  NCB,,28-07-2024 00:01,27-08-2024 12:00,11 days
29,GMH/LAB/01/2081-82,Supply and Delivery of Lab Related Reagent for Galkot Municipal Hospital.,Galkot Municipal Hospital,Goods  NCB,,28-07-2024 10:00,27-08-2024 12:00,11 days
30,GolMun/Goods/SQ-01/2081/82,The procurement and supply of medicine as well as surgical items,"Golbazar Municipality Office, Siraha",Goods  Sealed Quotation,,11-08-2024 12:00,27-08-2024 12:00,11 days
10,PAAH/Sarlahi/Works/NCB/080/081/01,"Construction Of Provincial Aayurved Yog,Panchakarma Hospital And Research Centre,Gangapur,Sarlahi","Provincial Ayurveda and Alternative Hospital, Malanwa",Works  NCB,,26-07-2024 23:45,27-08-2024 12:00,11 days
4,UDBO/DKT/NCB/Works/11-2081/82,Health Post Nirman Shadanand-2 Bhojpur,"Urban Development and Building Office, Dhankuta",Works  NCB,,28-07-2024 11:00,27-08-2024 12:00,11 days
15,2/BM/POG/2081/82,Supply of medicines and surgical items,"Buddhabhumi Municipality Office, Kapilbastu",Goods  Sealed Quotation,,09-08-2024 10:00,25-08-2024 12:00,9 days
16,BPKIHS/081/082/02,"Procurement /Construction of Furniture (Hospital &amp; Office Furniture), Support Services Equipment &amp; Interior Works for Second Phase of 400 Bedded Maternity &amp; Child Health Care Center",B.P. Koirala Institute of Health Sciences,Works  NCB,,25-07-2024 23:50,25-08-2024 12:00,9 days
20,dhi/ncb/01-2081/82,SUPPLY OF MEDICINE ITEMS FOR HOSPITAL PHARMACY .,"Ilam Hospital, Ilam",Goods  NCB,,25-07-2024 09:00,25-08-2024 12:00,9 days
4,MUN/MED/NCB-03/081/82,Procurement Supply and Delivery of Medicine and Surgical Items,"Devdaha Municipality, Rupandehi",Goods  NCB,,26-07-2024 00:00,25-08-2024 12:00,9 days
8,NCB/RangeliHospital/Goods/05/081/82,"Medicine and Surgical Items (Health Insurance &amp; Safe Motherhood),Rangeli Hospital.","Rangeli Municipality, Office of the Municipal Executive",Works  NCB,,25-07-2024 00:00,25-08-2024 12:00,9 days
1,IH/NCB/01G/081/082,"Supply and Delivery of Digital X-Ray Related Items for Konica Minolta X-Ray Machine, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
2,IH/NCB/02G/081/082,"Supply And Delivery Of Reagent for HPLC SYSTEM GLYCOSYLATED HEMOGLOBIN (HbA1c), Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
3,IH/NCB/03G/081/082,"Supply and Delivery Of Reagent For Fully Automated Chemiluminescence Immunoassay Analyzer(CLIA Machine), Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
4,IH/NCB/04G/081/082,"Supply And Delivery Of Reagent for Hematology 7 diff With slide marker And Stainer Integrated system, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
5,IH/NCB/05G/081/082,"Supply And Delivery Of Serology Kits, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
6,IH/NCB/06G/081/082,"Supply and Delivery of Reagent for Fully Automated Biochemistry Analyzer Machine, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
7,IH/NCB/07G/081/082,"Supply and Delivery of Reagent for eCLIA 8000 Lifotonic Electrode Immunoassay Analyzer Machine, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
8,IH/NCB/08G/081/082,"Supply and Delivery of Lab Reagent, Surgical and Other Items, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
9,IH/NCB/09G/081/082,"Supply and Delivery of Stationery and Other Items, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
10,IH/NCB/10G/081/082,"Supply and Delivery of Sanitary/Hygiene Related and Other Items, Itahari Hospital, Sunsari",Itahari hospital,Goods  NCB,,24-07-2024 10:00,23-08-2024 12:00,7 days
1,ITR/SQ/03G/081/082,"Supply and delivery of Medicines (WHO-GMP Certified Company) (Non-vatable) and Surgical Items(Vatable) for free distribution, Itahari, Sunsari","Itahari Sub Metropolitan City, Sunsari",Goods  Sealed Quotation,,07-08-2024 10:00,22-08-2024 12:00,6 days
29,RDDNG/081/82-02-24,Road upgrading works along  Ch 0+000 to 8+000 Bhamake Health Post Sundaradevi Bhagawati Mandir Road in Dang District.,"402 Road Division, Dang",Works  NCB,,23-07-2024 00:00,22-08-2024 12:00,6 days
1,BMO/Medicine-1/2081-82,Procurement and Supply of Medicine and Surgical Items,Barbardiya Municipality,Goods  NCB,,22-07-2024 00:00,21-08-2024 12:00,5 days
20,NMhealth/GOODS/01/2081-82,procurement of  suopply and delivery of Nalgad health medicine,"Nalgad Municipality, Jajarkot",Goods  NCB,,22-07-2024 00:00,21-08-2024 12:00,5 days
12,OMRM-GUL-G-SQ-01-2081/082,Procurement of Medical Items for Malika Rural Municipality,Malika Rural Municiplality,Goods  Sealed Quotation,,06-08-2024 11:00,21-08-2024 12:00,5 days
2,01/SQ/GOODS/BRM/2081-82,Purchase and Supply of Medicines and Surgical Items.,Bijaynagar Rural Municipality,Goods  Sealed Quotation,,05-08-2024 12:00,20-08-2024 12:00,4 days
7,BH/NCB/MGG/06/081/82,Procurement of Medical Grade Gas,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,22-07-2024 00:00,20-08-2024 12:00,4 days
8,BH/NCB/MGLO/05/081/82,Procurement of Medical Grade Liquid Oxygen,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,22-07-2024 00:00,20-08-2024 12:00,4 days
9,BH/NCB/SURG/03/081/82,Procurement of Surgical Items,"Bheri Hospital, Nepalgunj, Banke",Goods  NCB,,22-07-2024 00:00,20-08-2024 12:00,4 days
23,GDRM/NCB/Works/03/2081/082,Ward Level Health Care Center (Type 2) and Boundary works.,"Ganyapdhura Rural Municipality, Dadeldhura",Works  NCB,,19-07-2024 10:00,20-08-2024 12:00,4 days
24,Goods/GRM/NCB/01/2081-082,Purchasing of medicine &amp; surgical Items for geruwa rural municipality,Geruwa Rural Municipality,Goods  NCB,,21-07-2024 10:00,20-08-2024 12:00,4 days
30,HEDITH/AUCTION/01R/2081-082,"Auction of old Equipment, Vehicle and Scrap","Heavy Equipment Division, Itahari",Goods  NCB,,02-08-2024 10:00,18-08-2024 12:00,2 days
6,NEA-AMDC-081/82-01(SQ),"Supply and Delivery of Electrical Line Materials,Electrical Equipments and Safety Tools for Amuwa DCS.","NEA, Amuwa Distribution Center",Goods  Sealed Quotation,,01-08-2024 10:00,16-08-2024 12:00,Expired
18,NCB/SM/G/H/01/2081/82,Procurement and supply of Medicines and Surgical Items,Sandhikharka Municipality,Goods  NCB,,16-07-2024 12:00,15-08-2024 12:00,Expired
20,NRM/SQ/GOODS/2081/82-01,Supply and Delivery of Medicines and Surgical Products,"Nawarajpur Rural Municipality,Siraha",Goods  Sealed Quotation,,31-07-2024 00:00,15-08-2024 12:00,Expired
21,PAHS/NCB/M&G/22/080/081,Procurement of Medicine and Medical Goods,Patan Academy of Health Science,Goods  NCB,,15-07-2024 00:00,15-08-2024 12:00,Expired
22,PAHS/NCB/S&M/23/080/081,Procurement of Surgical and Medical Goods,Patan Academy of Health Science,Goods  NCB,,15-07-2024 00:00,15-08-2024 12:00,Expired
29,SLRM/GO/MEDICINE/SQ/081/082/01,Procurement &amp; Supply of Medicine and Surgical Materials,Shahid Lakhan Rural Municipality,Goods  Sealed Quotation,,31-07-2024 17:00,15-08-2024 12:00,Expired
